neighborhood,month,avg_rent,median_rent,rent_std,affordability_ratio,is_affordable,year,prev_year_rent,yoy_change
Boston Metro Area,2021-03,2359.748291887297,2359.748291887297,0,1.1798741459436486,False,2021,2445.189014566206,-3.4942379574720426
Boston Metro Area,2021-04,2390.3323770625066,2390.3323770625066,0,1.1951661885312532,False,2021,2473.1300582024737,-3.347890292520498
Boston Metro Area,2021-05,2429.1092628380675,2429.1092628380675,0,1.2145546314190336,False,2021,2496.19719118482,-2.687605313541324
Boston Metro Area,2021-06,2470.061958923562,2470.061958923562,0,1.235030979461781,False,2021,2495.570510280201,-1.0221531009265938
Boston Metro Area,2021-07,2508.265261820497,2508.265261820497,0,1.2541326309102485,False,2021,2485.2578076453,0.9257572435511521
Boston Metro Area,2021-08,2526.896316685197,2526.896316685197,0,1.2634481583425985,False,2021,2466.996180101278,2.428059559519055
Boston Metro Area,2021-09,2544.2541381182923,2544.2541381182923,0,1.2721270690591462,False,2021,2448.286241734021,3.9197988678113487
Boston Metro Area,2021-10,2558.094591811697,2558.094591811697,0,1.2790472959058483,False,2021,2297.599576698622,11.337702955506943
Boston Metro Area,2021-11,2575.720092741112,2575.720092741112,0,1.2878600463705558,False,2021,2272.5789191137483,13.339082356074188
Boston Metro Area,2021-12,2585.36645595577,2585.36645595577,0,1.292683227977885,False,2021,2272.767422759928,13.754114480233012
Boston Metro Area,2022-01,2598.150179361272,2598.150179361272,0,1.299075089680636,False,2022,2293.9543943767385,13.260759923136254
Boston Metro Area,2022-02,2607.908030377913,2607.908030377913,0,1.3039540151889564,False,2022,2325.870767250045,12.12609346568855
Boston Metro Area,2022-03,2630.2041118231627,2630.2041118231627,0,1.3151020559115814,False,2022,2359.748291887297,11.461214777257391
Boston Metro Area,2022-04,2662.747325812301,2662.747325812301,0,1.3313736629061506,False,2022,2390.3323770625066,11.396530096143644
Boston Metro Area,2022-05,2707.402285657489,2707.402285657489,0,1.3537011428287444,False,2022,2429.1092628380675,11.456587279827655
Boston Metro Area,2022-06,2749.1601897363616,2749.1601897363616,0,1.3745800948681808,False,2022,2470.061958923562,11.29924007794642
Boston Metro Area,2022-07,2781.82718581316,2781.82718581316,0,1.3909135929065801,False,2022,2508.265261820497,10.906419195636117
Boston Metro Area,2022-08,2800.837371791157,2800.837371791157,0,1.4004186858955785,False,2022,2526.896316685197,10.841008920592282
Boston Metro Area,2022-09,2811.722850514669,2811.722850514669,0,1.4058614252573345,False,2022,2544.2541381182923,10.512657064761393
Boston Metro Area,2022-10,2808.263388784094,2808.263388784094,0,1.404131694392047,False,2022,2558.094591811697,9.77949751245212
Boston Metro Area,2022-11,2805.631651282912,2805.631651282912,0,1.402815825641456,False,2022,2575.720092741112,8.926108049928894
Boston Metro Area,2022-12,2798.3825452361057,2798.3825452361057,0,1.3991912726180529,False,2022,2585.36645595577,8.239299647043143
Boston Metro Area,2023-01,2803.436918800242,2803.436918800242,0,1.401718459400121,False,2023,2598.150179361272,7.901265333685892
Boston Metro Area,2023-02,2820.856839226622,2820.856839226622,0,1.410428419613311,False,2023,2607.908030377913,8.165503014991318
Boston Metro Area,2023-03,2851.237021287408,2851.237021287408,0,1.425618510643704,False,2023,2630.2041118231627,8.403640936863761
Boston Metro Area,2023-04,2885.755833506393,2885.755833506393,0,1.4428779167531967,False,2023,2662.747325812301,8.375128407125938
